stop_id,route_short_name
1,636
10,"26,26א,27,31,326,38,54,91,92"
100,"12,12א,3,8"
10000,"103,149,22,44,53,65"
10002,"103,142,148,149,22,44,53,53א,65"
10003,"103,149,22,44,53,65"
10004,"103,25,25א,279,385,412,45,46,482,49,53,569,59,629,69,760,780,790,805,81,815,825,845,85"
10009,"31,61,71,792,801,811,953"
10010,22
10011,"15,22,22א,951,952"
10012,"14,15,22,22א,90,91,933,951"
10013,"21,791,807,817,950,951,952"
10014,"21,952"
10015,"16,21,26,26א,39,411"
10016,"102,31,33,71,793,92"
10017,18
10018,"108,31,36,423,516,71,716,72,758,811,860,971"
10020,"801,803,805,806,860,903"
10021,"104,152,153,157,158,159,160,183,58,60"
10025,"107,203,204,510,78,82,88,882,90,91"
10026,"28,728"
10027,"31,471,480,61,71,758"
10028,"31,471,480,61,71,758"
10029,"225,245,295,304,33,377,52,55,74"
1003,"2,61,86,88,89,91"
10031,"1,225,245,295,3,304,314,324,33,334,344,377,52,55,74,754,772,784,786,794,802,812,822,842,902,972"
10032,"304,33,52,55,74"
10033,"23,23א,29,510"
10034,"103,149,22,44,53,65"
10035,"103,142,148,149,22,44,53,53א,65"
10036,"103,22,44,53,53א,540,65"
10037,"103,22,44,53,540,65"
10038,"30,31,71,851"
10039,"33,411,516"
1004,70
10042,"107,480,510,78"
10043,"107,480,510,512,78,88"
10044,"510,78,88,90,91"
10045,"480,510,78,88,90,91"
10047,"510,78,88,90,91"
10048,"480,510,78,88,90,91"
10049,"480,510,78,870,88,90,91"
10050,"107,510,512,78,90,91"
10051,"107,510,512,78,90,91"
10053,"103,22,44,53,53א,540,65"
10054,"103,22,44,53,540,65"
10055,"103,22,44,53,540,65"
10056,"107,480,510,512,78,88"
10057,"103,22,47,53"
10058,"106,12,20,29"
10061,"19,267,299,31,33,92,950"
10062,"14,160,19,267,31,366,374,376,5,512,92,950"
10063,"30,30א,31,71,950"
10065,"30,30א,71,950"
10066,"30,30א,71,950"
10067,31
10068,"102,19,30,31,33,480,531,71,72,80,851,92,950"
10069,"31,423,471,480,61,63,64,64א,71,757,81,953"
1007,"10,11,14,148,15,576,626,636,72,8"
10071,"107,203,204,480,510,78,82,88,882,90,91,951"
10073,"21,950,951,952,953"
10074,"21,807,817"
10075,"21,750,844"
10076,"21,750,844"
10078,"22,22א"
10079,"106,19,19א,23,23א,35,42,42א,510"
10082,"54,54א"
10083,"118,159,54,54א,626,91"
10084,"104,118,159,413,54,54א,567,569,626,821,823,825,91"
10085,"16,377,401,428,429,51,57,754,9,903,904,905,972"
10086,"16,377,401,428,429,51,57,754,9,903,904,905,972"
10087,"7,931,97"
10088,"7,97"
10089,"7,931,97"
10095,"54,54א,90,91"
10096,"54,54א,90,91"
10097,"1,104,115,136,163,2,217,239,284,30א,480,51,755"
10099,"16,3א,716,970"
